Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
A	2276	PO6/BO7/PBD	0	0	4	Active	12/31/2014 23:59	31651	4   YAWKEY WA	BOSTON	MA	2115
B	2277	POCKETS BILLIARD CLUB	3	1	9	Active	12/31/2015 23:59	20276	981   Bennington ST	East Boston	MA	2128
C	2278	POMODORO	2	3	14	Inactive	12/31/2014 23:59	19449	319   Hanover ST	Boston	MA	2113
B	2279	POMODORO'S ITALIAN KITCHEN	4	1	18	Inactive	12/31/2014 23:59	120165	239   Grove ST	West Roxbury	MA	2132
A	2280	POPEYES CHICKEN	0	0	2	Inactive	12/31/2010 23:59	25818	21   BROOKLINE AV AV	BOSTON	MA	2215
B	2281	POPS RESTAURANT	2	0	6	Inactive	12/31/2011 23:59	24836	560   Tremont ST	Roxbury	MA	2118
B	2282	PORTER BELLY'S	4	1	14	Active	12/31/2015 23:59	21072	338   Washington ST	Brighton	MA	2135
D	2283	PORTERS BAR & GRILL	8	4	60	Active	12/31/2015 23:59	21355	173   Portland ST	Boston	MA	2114
B	2284	POULET	4	0	11	Inactive	12/31/2014 23:59	21287	800   BOYLSTON ST	BOSTON	MA	2199
A	2285	PRESIDENT'S SUITE	0	0	1	Active	12/31/2015 23:59	25420	21   ST THOMAS MOORE RD	CHESTNUT HILL	MA	2467
A	2286	PREZZA	1	0	8	Active	12/31/2015 23:59	21384	24   Fleet ST	Boston	MA	2113
F	2287	PRIEL'S RESTAURANT PIZZA & MORE	13	6	53	Active	12/31/2014 23:59	78914	11   Blue Hill AV	Roxbury	MA	2119
D	2288	PRIMO'S RESTAURANT	7	6	37	Active	12/31/2015 23:59	21579	28   Myrtle ST	Boston	MA	2114
B	2289	PRINCESS YACHT CHARTERS	2	0	2	Inactive	12/31/2012 23:59	21814	50  Rowes Wh	Boston	MA	2110
C	2290	PROVIDENCE HOUSE SENIOR COMM.	1	3	8	Active	12/31/2015 23:59	22903	180   COREY RD	BRIGHTON	MA	2135
B	2291	PROVINCE PLACE	4	0	12	Active	12/31/2015 23:59	19276	44  Province St	Boston	MA	2108
F	2292	PU PU PLATTER RESTAURANT	12	9	46	Active	12/31/2015 23:59	26163	2060   Centre ST	West Roxbury	MA	2132
D	2293	PUNTO ROJO	6	1	35	Active	12/31/2015 23:59	21808	16   Bennington ST	East Boston	MA	2128
